Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Home Doctor Consultation,GENHOM234,Receive expert medical advice and treatment recommendations from the comfort of your home via virtual consultation.,INPATIENT,17348.41,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Niva Bupa Health Insurance,GoActive,6597.13,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,ManipalCigna Health Insurance,Lifetime Health,11535.91,True,"Tax benefits under Section 80D, Organ donor expenses covered, Ambulance cover, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), No room rent limit, Lifelong renewability"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,10321.71,True,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Kotak Mahindra Health Insurance,Critical Illness Cover,10624.02,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,6846.58,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,10649.13,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,13854.10,Care Health Insurance,Family Health Insurance Plan,7716.50,True,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,395.43,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,395.43,Exide Life Insurance,Cancer Protection Plan,506.42,False,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,5204.25,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,5204.25,Niva Bupa Health Insurance,MoneySaver,2387.32,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,5204.25,SBI General Insurance,Hospital Daily Cash Insurance Policy,6635.05,False,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,5204.25,Universal Sompo General Insurance,Complete Healthcare Insurance,5452.89,False,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Executive Health Checkup,PREEXE437,"A comprehensive health assessment tailored for executives, identifying potential risks and promoting proactive well-being.",OUTPATIENT,14052.10,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Executive Health Checkup,PREEXE437,"A comprehensive health assessment tailored for executives, identifying potential risks and promoting proactive well-being.",OUTPATIENT,14052.10,Star Health and Allied Insurance,Young Star Insurance Policy,6970.03,True,"Annual health check-ups, International emergency coverage, Unlimited teleconsultations, No room rent limit, Automatic restoration of sum insured, No claim bonus benefits"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Executive Health Checkup,PREEXE437,"A comprehensive health assessment tailored for executives, identifying potential risks and promoting proactive well-being.",OUTPATIENT,14052.10,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,7960.02,True,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Executive Health Checkup,PREEXE437,"A comprehensive health assessment tailored for executives, identifying potential risks and promoting proactive well-being.",OUTPATIENT,14052.10,Aviva Life Insurance,Health Secure Plan,6717.97,True,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Executive Health Checkup,PREEXE437,"A comprehensive health assessment tailored for executives, identifying potential risks and promoting proactive well-being.",OUTPATIENT,14052.10,Shriram General Insurance,Corona Kavach Policy,7743.90,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,General Checkup,PREGEN364,"A comprehensive assessment of your overall health, identifying potential risks and promoting well-being.",INPATIENT,2175.19,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,General Checkup,PREGEN364,"A comprehensive assessment of your overall health, identifying potential risks and promoting well-being.",INPATIENT,2175.19,Bharti AXA General Insurance,Arogya Sanjeevani Policy,1442.43,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,General Checkup,PREGEN364,"A comprehensive assessment of your overall health, identifying potential risks and promoting well-being.",INPATIENT,2175.19,Niva Bupa Health Insurance,Health Companion,1341.51,True,"Pre and post-hospitalization expenses, International emergency coverage, No room rent limit, Personal accident insurance, Organ donor expenses covered, Cashless hospitalization across network hospitals"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,General Checkup,PREGEN364,"A comprehensive assessment of your overall health, identifying potential risks and promoting well-being.",INPATIENT,2175.19,Tata AIA Life Insurance,Tata AIA Vitality Health Insurance,1207.48,True,"Daycare treatment coverage, Personal accident insurance, Critical illness coverage, Ambulance cover, Coverage for chronic disease management, Tax benefits under Section 80D"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,General Checkup,PREGEN364,"A comprehensive assessment of your overall health, identifying potential risks and promoting well-being.",INPATIENT,2175.19,Universal Sompo General Insurance,Super Healthcare Insurance,2391.32,False,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Home Doctor Consultation,PREHOM154,Receive personalized medical advice and preventive care recommendations from the comfort of your home.,INPATIENT,7749.27,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Home Doctor Consultation,PREHOM154,Receive personalized medical advice and preventive care recommendations from the comfort of your home.,INPATIENT,7749.27,Future Generali India Insurance,Health Suraksha,5735.47,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Home Doctor Consultation,PREHOM154,Receive personalized medical advice and preventive care recommendations from the comfort of your home.,INPATIENT,7749.27,United India Insurance Company,Super Top-up Medicare Policy,10453.61,False,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Home Doctor Consultation,PREHOM154,Receive personalized medical advice and preventive care recommendations from the comfort of your home.,INPATIENT,7749.27,Aditya Birla Health Insurance,Activ Assure Diamond,6355.40,True,"Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,Preventive Health Checkup,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",Preventive Health Checkup,Home Doctor Consultation,PREHOM154,Receive personalized medical advice and preventive care recommendations from the comfort of your home.,INPATIENT,7749.27,ManipalCigna Health Insurance,ProHealth Select,5574.30,True,"Tax benefits under Section 80D, Maternity and newborn cover, Automatic restoration of sum insured, Health and wellness rewards program, Lifelong renewability"
